Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",151.508,660.63,599.266,174.518,102.942,36.7874,6.2604,28.5284,100.23,92.0592,48.1251,5.75007,113.151,6.54804,5.9994,0.690935,6.16413,33.9324,9.28986,0.29122,0.0728473,0.171278,0.425316,0.347292,0.516318,0.365286,0.86361,0.225098,6.99954,0.314915,1.31384,1.97956,106.074,28.0151,135.64,3.2934,4.98014,31.121617078781128,11.994410037994385,6.69887,3.0799999237060547,3.14486,0.295708,0.66712,3.14486,-0.295708,4.11051,999.5,6.575657894,999.5,6.575657894,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.451,659.683,581.597,156.888,93.5056,32.8447,4.1992,26.3383,97.0013,82.4754,67.262,3.52287,140.081,5.88955,4.35122,0.582915,9.23846,23.9486,5.06425,0.269753,0.101961,0.212346,0.480164,0.34902,0.476525,0.354303,0.825546,0.206772,6.08604,0.311181,0.811963,1.63887,100.039,22.0922,130.054,2.45083,-0.400424,25.818247318267822,6.6575011014938354,5.6457,12.289999961853027,2.32736,0.554817,0.440734,2.32736,-0.554817,4.41235,910.7,5.991447368,910.7,5.991447368,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",148.591,648.008,567.157,152.942,93.6803,28.2598,2.4528,28.549,98.8975,80.0071,70.9467,3.4676,128.365,6.11222,3.05333,0.738894,10.5444,25.9067,6.01769,0.269664,0.109484,0.198091,0.552695,0.35534,0.479152,0.359072,0.834492,0.209488,5.88948,0.300978,0.267789,1.61272,100.778,24.2104,131.372,1.88051,5.58649,25.90761423110962,-1.4838294982910156,4.74271,14.180000305175781,2.77349,0.175394,0.511612,2.77349,-0.175394,4.31785,918.6,6.165100671,918.6,6.165100671,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Francisco Lindor","NYM",142.317,627.473,555.071,143.318,89.3724,27.8185,1.24339,24.8838,92.1583,76.7604,56.0826,1.27424,115.211,10.5867,4.82175,0.911534,7.91318,22.6468,5.43643,0.258198,0.0893784,0.183611,0.486781,0.335142,0.447285,0.33889,0.782427,0.189087,5.49504,0.282122,-0.402544,1.28131,87.3022,13.1614,117.508,0.878769,2.89156,13.862660586833954,9.007997512817383,4.5127,25.969999313354492,2.89157,1.29129,0.536148,2.89157,-1.29129,4.28514,798.4,5.622535211,798.4,5.622535211,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Corey Seager","TEX",123.222,528.594,460.768,125.876,75.1326,23.9286,0.365691,26.4488,70.9588,75.8989,59.7003,9.50784,98.1657,4.39415,3.53356,0.198891,9.84624,2.529,0.574452,0.273187,0.112942,0.185711,0.608159,0.359523,0.498911,0.363473,0.858433,0.225724,2.70456,0.292702,-0.875304,-0.585811,84.0952,21.6377,136.332,-1.46112,0.239157,21.17413318157196,4.300531223416328,4.46779,95.56999969482422,2.92218,-0.555875,0.831687,2.92218,0.555875,3.89108,753.5,6.12601626,753.5,6.12601626,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Trea Turner","PHI",143.298,627.267,577.407,163.263,112.232,29.1608,3.96142,17.9096,89.3895,70.9797,40.1075,0.556597,113.392,5.36481,3.44854,0.939055,10.3988,27.7277,5.10841,0.282753,0.06394,0.180772,0.353705,0.333269,0.440029,0.334835,0.773298,0.157276,6.53515,0.323329,1.2876,2.41613,85.2086,11.0922,113.348,3.70373,0.55772,13.626875400543213,7.191875994205475,4.26521,26.31999969482422,2.49446,0.960639,1.02646,2.49446,-0.960639,3.63139,786.1,5.497202797,786.1,5.497202797,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Mookie Betts","LAD",142.552,621.763,545.142,146.258,92.7414,29.8224,2.47476,21.2199,88.5259,80.6433,66.2769,1.89976,72.0182,4.2525,5.5429,0.548781,8.95086,9.05104,2.47665,0.268294,0.106595,0.115829,0.92028,0.348974,0.448855,0.345403,0.79783,0.180561,4.52255,0.27334,-0.303871,-0.269345,89.7956,16.3295,121.982,-0.573216,-1.86608,15.58039790391922,4.733533024787903,4.23135,58.68000030517578,2.15838,-0.375464,0.647554,2.15838,0.375464,4.13659,789.9,5.523776223,789.9,5.523776223,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Zach Neto","LAA",148.048,633.958,566.677,142.394,83.9592,30.4626,1.23506,26.7366,86.1707,75.2461,44.3494,3.3461,155.406,16.5115,3.56907,2.85121,7.80782,26.8492,8.15249,0.251278,0.0699565,0.245136,0.285378,0.32206,0.450938,0.332821,0.772999,0.19966,5.60205,0.298006,0.512914,1.09729,85.081,10.174,112.634,1.61021,0.422778,11.050181984901428,7.276834815740585,4.10752,30.06999969482422,1.58488,-0.330467,0.723791,1.58488,0.330467,4.03495,786.6,5.314864864,786.6,5.314864864,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Elly De La Cruz","CIN",148.586,640.106,571.745,147.573,89.2929,30.0369,5.49006,22.7534,92.3235,77.4957,61.162,5.52798,171.56,3.43922,2.76276,0.997114,8.869,40.6919,10.0992,0.25811,0.0955499,0.268018,0.356505,0.331985,0.44924,0.335249,0.781225,0.19113,7.30501,0.328306,1.14937,3.0231,87.1678,11.5343,110.361,4.17246,-0.609799,12.033266067504883,6.03034234046936,4.02703,8.520000457763672,1.60139,-0.81879,1.27932,1.60139,0.81879,3.29423,830.4,5.573154362,830.4,5.573154362,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Geraldo Perdomo","ARI",150.364,648.084,549.064,144.258,100.225,27.6535,3.75494,12.6243,88.2454,64.7894,75.8225,1.01463,86.5218,7.57952,6.27258,9.34514,10.2231,20.5995,5.37343,0.262734,0.116995,0.133504,0.876339,0.356421,0.395753,0.332327,0.752174,0.13302,5.82962,0.288549,0.237161,0.713841,86.7166,10.1405,112.256,0.951002,0.205044,10.364623486995697,7.1663327515125275,3.99969,76.54000091552734,2.87685,-0.097048,0.939608,2.87685,0.097048,3.74719,761.5,5.076666666,761.5,5.076666666,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Jeremy Peña","HOU",136.895,589.918,539.222,147.326,101.913,27.152,1.85557,16.4056,76.0736,65.1641,34.4994,1.07374,105.108,10.6874,3.63121,1.87863,11.1974,17.0886,4.23331,0.273221,0.0584816,0.178174,0.328228,0.327381,0.421731,0.325604,0.749112,0.14851,5.34372,0.310726,0.271543,0.720089,75.7139,6.0105,109.416,0.991632,0.61287,7.538248360157013,6.950612545013428,3.55975,116.75,3.07593,0.350344,0.691333,3.07593,-0.350344,4.07822,680.4,4.966423357,680.4,4.966423357,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Willy Adames","SFG",151.911,649.765,570.421,132.06,77.6088,26.5116,1.20963,26.7294,84.1242,84.2125,69.8063,1.82037,165.4,3.74943,5.59168,0.196222,7.73118,11.4993,3.43661,0.231512,0.107433,0.254553,0.422047,0.316541,0.422808,0.320754,0.73935,0.191296,4.33499,0.27438,-0.0760856,-0.0934056,80.8363,4.06158,105.049,-0.169491,-0.327255,3.7082968652248383,6.705670773983002,3.31542,130.77999877929688,2.94807,0.0546205,1.10775,2.94807,-0.0546205,3.52301,741.5,4.878289473,741.5,4.878289473,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Bo Bichette","NYM",140.697,614.242,567.721,162.147,112.45,30.5684,1.60656,17.5214,75.9543,77.7884,38.8359,1.2142,100.446,3.52659,3.64668,0.512344,13.8521,5.62635,2.29258,0.28561,0.0632258,0.163529,0.386634,0.333223,0.437702,0.333545,0.770925,0.152092,3.56558,0.318979,0.257226,-0.827591,82.796,10.2185,113.836,-0.570366,0.382681,9.474398016929626,0.937044084072113,3.19216,94.80000305175781,2.32465,-1.23497,1.10852,2.32465,1.23497,3.52197,744.5,5.280141843,744.5,5.280141843,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Jacob Wilson","ATH",138.188,578.57,534.199,156.999,114.732,30.2155,1.38395,10.668,71.7433,64.4702,31.6419,0.760534,51.1755,7.1521,3.08159,2.49632,15.8415,5.91678,1.87477,0.293897,0.0546897,0.0884516,0.618301,0.339875,0.415551,0.329412,0.755426,0.121654,3.87294,0.307783,-0.056784,-0.592902,76.0459,7.68339,110.997,-0.649686,-1.72349,6.8700520396232605,4.577166557312012,3.17461,193.07000732421875,2.36117,-0.00703323,1.46967,2.36117,0.00703323,3.04044,664.1,4.81231884,664.1,4.81231884,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Dansby Swanson","CHC",153.238,629.832,569.146,137.47,88.7866,24.7735,1.97437,21.9354,78.3618,75.1092,52.705,1.06483,159.483,3.20803,3.88769,0.885755,8.73575,15.8108,3.73217,0.241537,0.0836811,0.253215,0.330475,0.307471,0.407626,0.310896,0.715097,0.166088,5.07385,0.295021,0.463191,0.685537,73.3152,-1.10434,98.2772,1.14873,2.40827,-0.13376080989837646,9.502636432647705,3.13947,149.44000244140625,3.34607,-0.499406,0.591137,3.34607,0.499406,4.21182,676.1,4.418954248,676.1,4.418954248,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Nico Hoerner","CHC",146.095,607.739,555.549,154.624,117.951,26.9103,2.9323,6.82976,74.3236,55.656,38.523,1.01021,56.7745,9.0532,3.92104,0.692492,9.70989,25.9757,6.31666,0.278326,0.0633875,0.0934193,0.678527,0.333088,0.374203,0.311549,0.707291,0.0958767,5.94517,0.298052,0.561086,1.52226,71.0661,-0.742916,98.7264,2.08334,3.41985,1.1685252785682678,5.769339084625244,2.81424,103.26000213623047,2.60936,0.161867,1.5044,2.60936,-0.161867,2.99413,649.8,4.450684931,649.8,4.450684931,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Masyn Winn","STL",143.767,611.395,558.522,139.969,96.1766,28.4046,2.39376,12.994,72.5842,59.8836,41.0289,0.173319,110.877,5.04293,4.13695,2.66424,8.30531,13.5027,3.72421,0.250606,0.067107,0.181351,0.370039,0.305621,0.379829,0.300033,0.68545,0.129223,5.00631,0.289376,0.599977,0.237472,65.7769,-6.46414,90.8152,0.837449,5.8432,-5.799634158611298,12.499072074890137,2.80251,328.489990234375,3.26479,0.484538,0.489775,3.26479,-0.484538,4.34697,593.2,4.119444444,593.2,4.119444444,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Kevin McGonigle","DET",107.032,442.712,390.358,99.2338,61.3159,21.5309,2.67462,13.7124,56.032,51.6513,44.3628,0.660554,64.18,2.4147,4.05468,1.52212,6.2472,9.47717,2.57576,0.254212,0.100207,0.14497,0.691225,0.330949,0.428456,0.329603,0.759405,0.174243,5.26248,0.270193,-0.259642,0.131378,58.2577,5.94781,111.344,-0.128265,1.07391,5.790835872292519,5.855207204818726,2.75052,999,4.01495,-1.17204,0.494402,4.01495,1.17204,4.3408,523.6,4.893457943,523.6,4.893457943,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","sa3022895",805808
