Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ketel Marte","ARI",139.957,611.888,532.522,146.76,86.5986,29.4781,2.4292,28.2543,88.1001,86.0434,67.112,5.12263,99.4096,6.75778,4.90731,0.588877,11.4254,5.24262,1.63379,0.275595,0.10968,0.162464,0.675105,0.36092,0.499247,0.367021,0.860167,0.223652,4.1073,0.289204,-0.00151407,-0.646085,99.1094,26.8102,136.022,-0.647599,0.143602,25.47632545232773,0.21480528265237808,4.71137,32.02000045776367,3.05787,0.574009,0.885703,3.05787,-0.574009,3.81906,874.8,6.248571428,874.8,6.248571428,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Jazz Chisholm Jr.","NYY",139.786,584.548,518.734,123.704,74.4333,19.0129,2.37577,27.8816,79.6478,76.5565,56.0968,1.97654,155.434,4.93353,3.71785,1.06579,6.23982,32.3557,7.93664,0.238472,0.0959662,0.265904,0.360906,0.316606,0.445533,0.328527,0.762139,0.207061,6.23304,0.282547,0.0619336,2.3397,76.4119,7.34308,110.389,2.40164,-1.73455,9.5793776512146,0.22197318077087402,3.02691,19.700000762939453,1.64827,0.511756,1.19694,1.64827,-0.511756,3.40408,726.5,5.189285714,726.5,5.189285714,,,,,,,,,,,,,,,,,,,"Jazz Chisholm Jr.","20454",665862
"Brendan Donovan","SEA",131.681,565.869,502.88,134.73,93.698,27.1982,1.00655,12.8271,65.408,57.7987,48.2311,1.98913,78.5417,9.45557,3.56176,1.74068,9.30001,4.86692,2.32814,0.267917,0.0852336,0.138799,0.614082,0.341087,0.402527,0.326012,0.743613,0.13461,3.39986,0.29369,-0.108387,-0.966289,72.8143,5.95259,115.652,-1.07468,-0.808386,9.36457073688507,0.6140947937965393,3.01361,270.8599853515625,2.7195,0.0230951,0.722944,2.7195,-0.0230951,4.03607,634.1,4.803787878,634.1,4.803787878,,,,,,,,,,,,,,,,,,,"Brendan Donovan","24679",680977
"Brice Turang","MIL",148.768,633.227,566.244,145.624,102.611,25.0417,2.74235,15.2292,80.5362,67.1067,57.5959,1.13425,131.981,2.14717,4.0627,3.1769,8.23414,29.4709,6.26023,0.257176,0.0909561,0.208427,0.436394,0.325954,0.391772,0.314607,0.717726,0.134596,6.01741,0.308193,0.0385529,2.26619,75.6187,0.798018,101.856,2.30475,1.00235,3.6975879669189453,3.446260452270508,2.88639,50.220001220703125,1.98624,0.511189,1.01707,1.98624,-0.511189,3.64391,700.5,4.701342281,700.5,4.701342281,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Nico Hoerner","CHC",146.095,607.739,555.549,154.624,117.951,26.9103,2.9323,6.82976,74.3236,55.656,38.523,1.01021,56.7745,9.0532,3.92104,0.692492,9.70989,25.9757,6.31666,0.278326,0.0633875,0.0934193,0.678527,0.333088,0.374203,0.311549,0.707291,0.0958767,5.94517,0.298052,0.561086,1.52226,71.0661,-0.742916,98.7264,2.08334,3.41985,1.1685252785682678,5.769339084625244,2.81424,103.26000213623047,2.60936,0.161867,1.5044,2.60936,-0.161867,2.99413,649.8,4.450684931,649.8,4.450684931,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Gleyber Torres","DET",147.075,633.453,552.196,142.045,98.1744,25.9637,0.821812,17.0847,78.3354,68.0095,70.6148,0.306666,109.095,3.93462,5.47531,1.23267,10.3775,5.4919,2.44738,0.257236,0.111476,0.172222,0.647279,0.342592,0.40005,0.327108,0.742642,0.142814,3.1813,0.2896,-0.643708,-1.04211,82.0747,7.22731,109.625,-1.68582,-2.46122,5.50041401386261,-0.1915445327758789,2.77383,249.80999755859375,2.89003,-1.30164,0.502951,2.89003,1.30164,4.3294,713,4.850340136,713,4.850340136,,,,,,,,,,,,,,,,,,,"Gleyber Torres","16997",650402
"Luke Keaschall","MIN",126.239,534.215,469.745,125.293,85.942,26.7122,1.66048,10.9784,67.7743,56.4189,49.1965,0.979596,91.6311,10.4227,4.61663,0.234394,8.43042,24.1368,5.92694,0.266726,0.0920912,0.171525,0.536898,0.34629,0.400774,0.328602,0.747064,0.134048,5.67338,0.307503,-0.58529,1.44569,69.8648,6.74322,110.148,0.860401,-1.26191,7.249637484550476,0.2052001953125,2.64392,120.69000244140625,1.94421,0.564994,1.08091,1.94421,-0.564994,3.55879,628.9,4.991269841,628.9,4.991269841,,,,,,,,,,,,,,,,,,,"Luke Keaschall","33321",807712
"Marcus Semien","NYM",137.04,577.487,516.726,124.088,81.4515,22.3431,2.15076,18.1424,72.7794,67.1694,51.8234,0.589979,95.3507,3.96373,4.44068,0.5332,7.3291,9.45712,2.06485,0.240142,0.0897395,0.165113,0.543503,0.311767,0.397038,0.309712,0.708805,0.156895,4.71988,0.259878,-0.0183811,0.14372,66.6669,-1.56761,97.4639,0.125339,3.48549,-1.6056190878152847,5.416406869888306,2.38955,261.4700012207031,2.19123,-2.14129,0.386228,2.19123,2.14129,4.48503,601.3,4.389051094,601.3,4.389051094,,,,,,,,,,,,,,,,,,,"Marcus Semien","12533",543760
"Jose Altuve","HOU",138.388,600.028,540.214,141.694,95.2968,25.4647,0.9215,20.0106,78.2801,67.7547,50.1181,2.41904,102.672,5.22153,3.56616,0.908096,11.9008,11.8658,3.69364,0.262292,0.0835263,0.171112,0.488138,0.328871,0.423968,0.326721,0.752839,0.161676,4.20784,0.288966,-0.248917,-0.117921,77.5555,6.65767,110.185,-0.366839,-3.48865,6.83613982796669,-4.232514321804047,2.37934,115.30999755859375,1.83435,-0.163932,0.313067,1.83435,0.163932,4.58258,698,5.057971014,698,5.057971014,,,,,,,,,,,,,,,,,,,"Jose Altuve","5417",514888
"Xavier Edwards","MIA",135.121,579.72,521.146,144.816,114.743,22.7612,3.78866,3.52278,69.2632,44.4056,47.9378,1.48237,83.7446,2.57523,3.82425,4.23651,8.31956,27.5132,6.40486,0.277879,0.0826913,0.144457,0.572428,0.339417,0.356373,0.308203,0.69579,0.078494,6.16486,0.322805,0.372627,1.79855,66.2146,-2.28376,95.3731,2.17117,2.31058,-1.0079154968261719,4.395776987075806,2.31997,185.61000061035156,2.26746,0.572555,1.79312,2.26746,-0.572555,2.60917,607.5,4.5,607.5,4.5,,,,,,,,,,,,,,,,,,,"Xavier Edwards","22266",669364
"Bryson Stott","PHI",137.203,558.607,500.221,127.752,89.4243,22.866,2.51235,12.949,66.36,58.3901,48.5384,1.05863,92.3572,3.03871,5.21364,1.59503,7.2166,23.1827,4.83707,0.25539,0.0868918,0.165335,0.52555,0.321948,0.388807,0.311041,0.710754,0.133416,5.78878,0.286914,0.0893258,1.73181,65.0904,-0.913305,97.048,1.82114,1.68465,-0.13329100608825684,3.8993232250213623,2.28679,184.5800018310547,2.4239,-0.527926,0.882647,2.4239,0.527926,3.82314,608.5,4.441605839,608.5,4.441605839,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
"Otto Lopez","MIA",135.799,563.386,516.995,137.018,97.4378,25.2953,2.64861,11.6362,63.143,60.6417,38.1189,1.33392,86.093,3.50951,3.6213,1.14171,10.7809,15.732,4.91713,0.265027,0.0676602,0.152813,0.442764,0.317738,0.391723,0.309359,0.709461,0.126696,5.14479,0.29649,0.331382,0.223496,64.8778,-1.6907,96.1649,0.554878,-1.78545,-2.0059207677841187,4.501518249511719,2.17308,230.33999633789062,2.45448,0.653113,0.7531,2.45448,-0.653113,3.99587,595,4.375,595,4.375,,,,,,,,,,,,,,,,,,,"Otto Lopez","19608",672640
"Brandon Lowe","PIT",124.143,527.091,475.105,114.726,68.5705,22.1488,1.12161,22.8853,66.9683,71.6928,43.1295,1.11562,135.468,4.39517,4.00078,0.460136,7.04654,4.29328,1.23123,0.241475,0.0818255,0.257011,0.318373,0.308092,0.437322,0.321334,0.745415,0.195847,3.6782,0.286329,-0.364026,-0.40461,65.8228,3.54292,103.826,-0.768636,0.0538148,1.621338427066803,1.5766179859638214,2.12139,183.63999938964844,3.8143,0.741839,0.543027,3.8143,-0.741839,4.27596,600.5,4.842741935,600.5,4.842741935,,,,,,,,,,,,,,,,,,,"Brandon Lowe","18882",664040
"Jackson Holliday","BAL",117.838,504.586,447.373,111.085,74.3646,21.5089,2.00003,13.2115,66.0186,49.3322,50.1336,1.10626,112.212,4.05332,2.40537,0.620334,7.13423,12.8524,4.74071,0.248305,0.099356,0.222383,0.446778,0.327943,0.393919,0.317112,0.721862,0.145614,5.22162,0.301748,0.138367,-0.212271,61.2829,1.66221,104.435,-0.0739042,-1.56338,2.563709795475006,0.3590216636657715,2.0759,197.63999938964844,3.28501,0.266305,0.558555,3.28501,-0.266305,4.25526,544.7,4.616101694,544.7,4.616101694,,,,,,,,,,,,,,,,,,,"Jackson Holliday","31781",702616
